steps,rewards,intrinsic_rewards
1562,10.0,0.013438661210238933
1572,10.0,0.017150569614022972
1581,9.0,0.015591195458546281
1594,13.0,0.019470973126590255
1603,9.0,0.015427319332957268
1613,10.0,0.01987741654738784
1622,9.0,0.0154310982208699
1632,10.0,0.021045282110571863
1640,8.0,0.012414602655917407
1650,10.0,0.019853336550295354
1661,11.0,0.02213701023720205
1669,8.0,0.012114460626617075
1678,9.0,0.014331940282136203
1688,10.0,0.015890090027824044
1697,9.0,0.01518279779702425
1707,10.0,0.014674224611371757
1717,10.0,0.018048550374805926
1727,10.0,0.0166625811252743
1735,8.0,0.012482662266120314
1744,9.0,0.015294839814305305
1753,9.0,0.015162324346601965
1763,10.0,0.020821114536374807
1772,9.0,0.015329106058925391
1780,8.0,0.01219904818572104
1789,9.0,0.015714119747281076
1797,8.0,0.013163146842271089
1806,9.0,0.015331142954528332
1816,10.0,0.017802235670387745
1827,11.0,0.01575972242280841
1836,9.0,0.012651319336146117
1848,12.0,0.014901788160204888
1858,10.0,0.015238459408283233
1867,9.0,0.015352131752297282
1876,9.0,0.014369253627955913
1894,18.0,0.021067803166806703
1903,9.0,0.015472153248265386
1912,9.0,0.015310711134225129
1921,9.0,0.01545058423653245
1931,10.0,0.019083493016660215
1945,14.0,0.01957663744688034
1954,9.0,0.015334465354681016
1966,12.0,0.020310654211789368
1975,9.0,0.015336857084184887
1985,10.0,0.017572121880948546
1996,11.0,0.013774336688220505
2007,11.0,0.018839911743998527
2015,8.0,0.012132673710584642
2025,10.0,0.01905633779242635
2035,10.0,0.016400730796158315
2045,10.0,0.014776403550058603
2053,8.0,0.009680278040468693
2069,16.0,0.021610433561727406
2077,8.0,0.01008597663603723
2087,10.0,0.014943243050947786
2097,10.0,0.013933968590572478
2107,10.0,0.014117685053497553
2119,12.0,0.01404052837751806
2133,14.0,0.014425797713920474
2143,10.0,0.011014639073982835
2157,14.0,0.014331735856831073
2167,10.0,0.013160182349383832
2180,13.0,0.013914522249251606
2190,10.0,0.016561446292325855
2201,11.0,0.013780156522989273
2212,11.0,0.014174998039379718
2223,11.0,0.01601421288214624
2254,31.0,0.041523568937554954
2266,12.0,0.012909917300567033
2277,11.0,0.01708110747858882
2286,9.0,0.011508754687383771
2296,10.0,0.018259323853999376
2307,11.0,0.013396021630614995
2316,9.0,0.010643495246768
2329,13.0,0.014037533057853581
2337,8.0,0.011219138000160458
2345,8.0,0.011247349856421352
2355,10.0,0.014391875220462683
2366,11.0,0.011838654847815632
2377,11.0,0.010594615107402207
2387,10.0,0.018247608700767158
2396,9.0,0.01152474004775286
2405,9.0,0.010374978976324202
2415,10.0,0.012026330549269913
2424,9.0,0.011216004751622679
2434,10.0,0.010505545744672419
2446,12.0,0.014011824363842606
2456,10.0,0.009700556518509986
2466,10.0,0.018282854231074452
2476,10.0,0.010401068488135934
2489,13.0,0.017077800072729587
2497,8.0,0.00898409024812281
2510,13.0,0.012947199167683722
2522,12.0,0.01233605924062431
2533,11.0,0.011164254136383535
2545,12.0,0.011926111858338119
2553,8.0,0.011148673808202149
2564,11.0,0.013434009999036788
2574,10.0,0.012137783318758012
2588,14.0,0.013919540075585246
2597,9.0,0.014481925033032896
2617,20.0,0.016174781462177636
2628,11.0,0.011623101169243456
2642,14.0,0.012362091010436416
2655,13.0,0.014917199732735753
2667,12.0,0.011630666349083187
2681,14.0,0.014907778659835459
2694,13.0,0.01234954190440476
2705,11.0,0.012042049877345563
2719,14.0,0.012611568626016376
2730,11.0,0.013205189025029542
2740,10.0,0.010932359658181666
2751,11.0,0.011970587307587264
2767,16.0,0.014088246319442988
2776,9.0,0.00918458253145218
2787,11.0,0.012367470283061267
2806,19.0,0.026400899048894644
2817,11.0,0.011769747827202082
2830,13.0,0.0138470430392772
2843,13.0,0.013283465942367912
2853,10.0,0.01091218525543809
2876,23.0,0.036651343153789644
2887,11.0,0.013193753501400353
2905,18.0,0.02353835445828736
2917,12.0,0.013563004694879055
2929,12.0,0.018568081222474577
2940,11.0,0.012630188977345823
2951,11.0,0.012050416273996235
2962,11.0,0.010362272150814533
2974,12.0,0.011679570563137532
2986,12.0,0.011060781544074416
2996,10.0,0.009642009437084199
3005,9.0,0.009204621613025666
3025,20.0,0.026446759048849345
3035,10.0,0.01625491324812174
3043,8.0,0.007849551178514958
3054,11.0,0.010070671141147614
3064,10.0,0.014307967619970443
3073,9.0,0.011631628405302763
3082,9.0,0.007673937128856778
3105,23.0,0.030671456316486004
3141,36.0,0.03506498672068119
3163,22.0,0.026542705204337835
3175,12.0,0.008493530470877886
3202,27.0,0.03467510286718607
3218,16.0,0.011720549082383513
3229,11.0,0.008151676785200833
3247,18.0,0.02052613263949752
3257,10.0,0.014678375190123915
3280,23.0,0.032121233921498064
3304,24.0,0.03381406990811229
3318,14.0,0.00962141938507557
3340,22.0,0.032259684847667815
3358,18.0,0.019694265071302654
3377,19.0,0.026120730442926295
3419,42.0,0.04593568807467819
3445,26.0,0.02346272999420762
3457,12.0,0.008899131510406732
3481,24.0,0.034453073795884845
3515,34.0,0.0365345075726509
3542,27.0,0.040910338284447796
3571,29.0,0.0350473175290972
3647,76.0,0.06425167699344457
3736,89.0,0.0763289622496814
3809,73.0,0.07800288433209061
3839,30.0,0.04027526625432074
3876,37.0,0.05276650986634195
3993,117.0,0.11148644485510886
4012,19.0,0.016302104946225884
4037,25.0,0.036736308783292766
4062,25.0,0.03473644461482763
4150,88.0,0.05652144425548612
4213,63.0,0.03833724977448584
4304,91.0,0.062297084787860516
4405,101.0,0.0618719921912998
4504,99.0,0.0692407020367682
4709,205.0,0.13059255667030814
4886,177.0,0.10915308198891582
5042,156.0,0.10870021935552356
5155,113.0,0.05686070844531059
5274,119.0,0.05912185322958976
5444,170.0,0.12245953753590577
5654,210.0,0.13907180908136063
5894,240.0,0.13243289650417864
6013,119.0,0.07331388923339549
6146,133.0,0.05785463596694172
6499,353.0,0.18613262469880287
6638,139.0,0.05652945525944232
6789,151.0,0.09695204291492698
7052,263.0,0.10776345639023935
7229,177.0,0.09414395063649861
7376,147.0,0.08366731551941485
7566,190.0,0.06902807389851666
7691,125.0,0.04755958437453956
7879,188.0,0.0776159928180277
8041,162.0,0.07571688063908369
8313,272.0,0.129655353189446
8516,203.0,0.11029795012436802
8777,261.0,0.11262682285159825
8992,215.0,0.11510997684672479
9250,258.0,0.0981397269060835
9500,250.0,0.11244558983016759
9667,167.0,0.07503404335584493
9860,193.0,0.09986743847839534
10064,204.0,0.0998998082708567
10242,178.0,0.06927592799765986
10438,196.0,0.07050881257746368
10724,286.0,0.0908862948068418
10939,215.0,0.07397070233710108
11101,162.0,0.06518101291731
11267,166.0,0.05737663417821752
11450,183.0,0.06708062628749759
11696,246.0,0.08982444216962901
11906,210.0,0.08472954166354613
12102,196.0,0.06465177375357598
12296,194.0,0.06286641724873335
12527,231.0,0.07331109604565426
12737,210.0,0.07211994020035489
13122,385.0,0.09637477687792853
13356,234.0,0.06685590959386901
13538,182.0,0.06201834353851154
13853,315.0,0.085051554418169
14031,178.0,0.062067989213392155
14251,220.0,0.05986352270119824
14483,232.0,0.07798645215807481
14727,244.0,0.062037770001916195
14924,197.0,0.05746839352650571
15186,262.0,0.05862715264665894
15458,272.0,0.07551601447630672
15848,390.0,0.0716080830490682
16074,226.0,0.04968034383491612
16278,204.0,0.06022237432771363
16633,355.0,0.06113058120827191
16883,250.0,0.05152256515575573
17229,346.0,0.053661049442598585
17519,290.0,0.065689859027043
17795,276.0,0.0637054655700922
18032,237.0,0.06208695655222982
18346,314.0,0.0447783769632224
18587,241.0,0.04026984134688972
18828,241.0,0.060265835112659254
19040,212.0,0.03745393624994903
19235,195.0,0.03445290039526298
19475,240.0,0.03694435298675671
19720,245.0,0.03846467453986407
19934,214.0,0.03473386904224754
20124,190.0,0.03140937087591738
20321,197.0,0.029572311733500098
20486,165.0,0.027567701964289877
20672,186.0,0.02961690726806411
20858,186.0,0.030333583583706063
21025,167.0,0.02921905443654396
21357,332.0,0.03905586799373851
21512,155.0,0.02356001865991857
21713,201.0,0.027493462478741994
21882,169.0,0.025319587733247315
22031,149.0,0.024681610375409946
22179,148.0,0.021809814273728988
22325,146.0,0.022168371465522797
22484,159.0,0.025581787261762655
22641,157.0,0.023261103438562712
22777,136.0,0.023147076767054384
22932,155.0,0.024430637070327065
